date,positive,negative,id,code
11/4/19 13:27,"I see myself as more outgoing once I get to know a person, the first time i meet them im very shy and closed off. but by the end of the night we could literally become best friends. i have a really bad rbf (resting bitch face) some people may not want to approch me or be my friend because of it, but once they do get to know me i nice, but VERY sarcastic. i played tennis for about 14 years (since i was 5) i recently took a little break from it, but i miss it a lot. in highschool i was known as the girl that played first single tennis and was the first person in a very long time to be on varsity all 4 years. my sister is now the second person to be doing that she still has 1 1/2 to go. ",I guess my attitude and rbf could be a negavite quality. im only nice if i dont get a bad feeling about the person i just met. normally my feeling turn out to be right about people.,11,2
11/4/19 13:31,I would say I am a caring person. I always try to help others when possible. I am also consider myself to be funny. I have a way of making people laugh to have a good time or even forget things that make them sad. An ability I have is that I am able to speak both spanish and english. I see it as a good quality since I am able to translate things for others and also have an advantage over someone who only knows one language. ,One of my bad qualities is that I am very shy. I really do not speak up for myself and do really bad in presenting in front of others for no good reason. Another bad quality is that I am lazy. I really put off things that need to be done fast and that effects my grades for the worst. I also am not very active and hate walking. I also have bad eating habits I would like to get rid off. I am sometimes selfish. I really don't think about others when I do things and it causes problems.,12,2
11/4/19 14:43,I don't necessarily feel like I have a lot of positive personal qualities. One of them I guess would be that i am very open minded as well as educated therefore I won't be rude or ignorant when it come to certain topics. Another would be that I am a sweetheart meaning that I will always be nice to as long as I get the same respect back. I am also a very social person in a way sometimes so it would be likely for me to start a conversation with someone. Im also a very humorous person and I try to make everyone laugh because life is a wreck already and a little laugh won't kill anyone. ,"I procrastinate a lot actually but I find a way to always get everything done and it ends up actually working which is why I think I keep doing this. I also have a tendency of being a pessimistic and I always assume the worse. I am a very lazy person when it comes to certain things, I hate cleaning my room but I like cleaning everyone's room in the house. I am also a very stubborn person and I know I get mad easily at things which is terrible. ",13,2
11/4/19 14:51,"I believe some of my biggest positive qualities are independence, confidence, and resilience. While I may struggle sometimes,I have the ability to bounce back no matter what. I would consider myself a quick learner, and I am a very outgoing person, so I can also make friends easily. ","I have many negative qualities. I am a huge procrastinator, and I often lack motivation. I don't know what I want to do with my life really. I think I sometimes get to comfortable around people, and I also push people away sometimes. I can't have healthy relationships with guys. I have some mental health issues which affect how I do academically. ",14,0
11/4/19 15:35,"As a person i feel like i am very humble and treat everyone with respect no matter what. I'm also pretty selfless especially with my friends. I like to have fun and go on adventures. I'm also a nerd who likes puzzles and anime. I like to laugh and surround myself with people that make me laugh and smile because i like being happy, so i always spend time with my friends. I also procrastinate a lot on my essays which is a bad thing. Another thing is that I'm also pretty impatient, specially with little kids. I also like to consider myself a leader when i need to be, but mostly a team player. I'm also pretty protective about the people i care about. i try to not get angry with anyone, but when i do i get really agressive. i also like to play alot of sports bc it makes me feel good and relax. I'm also a peoples person, i like being with people and socializing. I like handy work and getting ","I am pretty impatient at times, especially with kids because they irritate me. I'm also very self conscious about myself. Sometimes I'm very prideful with my work or things i do or with a few people in general. I also think im a little too selfless to the point people take advantage of me. Im known to hold grudges but not for long periods of time. I also like to procrastinate while doing my homework or work in general. I also have a bad habit of cursing alot.",15,1
11/4/19 15:37,"I would say I am a creative person. I like to draw and edit pictures, making things seems aesthetically pleasing to look at. I also think I am a good listener and just love hearing people talk in general. I also thing I am good with time management and know when I need to get things done. I am good at working under pressure and think that is when I do my best. I think I am kind and open to meeting new people. In addition, I am good at giving advice and being there for anyone. ",I am a very shy and quiet person so sometimes people think I am being rude or don't want to talk to them when that isn't the case. I think I could be very annoying once you get to know me. I space out a lot and tend to repeat things people say.,16,0
11/4/19 15:37,"I think I'm a very good listener and attentive when people need to talk to me. If someone needs me especially if it's a close friend or family member then I would drop anything to go to them. Personally, it's situational and depends a little bit on who the person is. It's extremely hard for me to ignore people and not help them when I know I can do something.   I'm terrible at saying no and I think I'm too nice sometimes. Which is good and bad because I want to help as many people as I can but I should be more clear. I'm empathetic and will give all my attention to someone who needs it. I think I have the ability to make my friends laugh and make jokes in times that I really shouldn't be to help them smile but ",I think I'm bad at accurately expressing my self fully and clearly to people sometimes. I'm bad at saying no which may confuse people. I can be extremely lazy when it comes to certain things that I don't value or care about as much. I'm very pessimistic and I know I shouldn't be but I hold my self to high standards and talk down to my self a lot because I know I can do better. But there needs to be a balance with everything you do and I think personally that's more of a negative. I care too much and it takes away time from my self and other aspects of my life.,17,0
11/8/19 9:49,"The only positive personal qualities i may have that i can think about is, being a good listener, being optimistic towards others, and being kind. I think i can be calm in certain situations unlike others. I see myself as mature which is helpful in certain situations and conversations. ",I feel as though i have many negative qualities such as being pessimistic towards myself and situations that contain me. I feel as though i am to straightforward which can come off as rude. I am a huge procrastinator which does not help me in any way shape or form. I have no confidence and have anxiety which doesn't help and really just amplifies my negative qualities even more.  ,18,2
11/8/19 9:51,"I am serious and yet funny. I tend to be serious in terms of decisions I make, for example finishing homework first and than go hang out with friends because I know that I'll regret my ""non doing homework"" later. I am super loyal to the people I love. However, this may sound bad, I also expect same loyalty from them too. I try my best to respect everyone regardless of their race, religion, or sexuality. ","I am too judgy of others. I critizes way too much. I also get offended a lot and make decisions which I know I'll regret later. I also tend to overthink a lot, which, most of the time, ends up hurting me. I am super lazy therefore, I don't give my all to assignments. And because of that, I get pissed at myself for not trying. I also complain a lot. I am a whiner. Which is annoying to people around me. I am also super self-conscious. I also tend to look at negative sides more than the positive sides. ",19,1
11/8/19 10:32,"I am very open and i like to interact with as many people as I can for the reason that I dont like people feeling left out. I get referenced as the word ""bubbly"" and in other words its that im very sweet. I am for the most part a very happy girl who loves to take time and enjoy as much as I can about life. ""Make the best out of every situation"" is my motto. This is a good thing since im very  sensitive .I am also very talented in art and when i feel rather angry or confused i take those feelings out and write them or make it into an art piece. I have to say that im really realistic with myself and this can lead to great things because i know my worth and how much i can do.,",I can be very stubborn and annoying at times when i dont get my way. in addition when im angry i refuse to talk to the individual who upset me because ill have a bitch fit. Overall my worst quality is that i have horrible self esteem and i always underestimate who i am and my beauty.,21,4
11/8/19 10:35,"I am a dreamer. I tend to always think about the future, which also makes me a futuristic person. I am always imagining how my life will look like in five or ten years from now. I am a very loyal person. I feel like this trait makes me an amazing friend and girlfriend to have. I am also a very determined person. I work really hard for what I want, and I don't stop working until my goal is done. I do not like leaving things undone or halfway done. I make sure I get things done fully. ","I am an over thinker. I tend to think a bit too much about things and as a result, end up hurting my own feelings sometimes. I also tend to worry a lot about things, which makes me feel stressed most of the time. ",22,0
11/8/19 10:36,"I am very empathetic towards others. No matter how busy I am, I can always get something done.  I am very reliable to the people I care about. I am always there when someone needs me to be. I put myself last even though I am struggling also. ",I tend to not tell people how I am feeling. I procrastinate a lot on my work. I spend too much money.  I have low self-confidence. I tend to get angry quickly if something does not go my way.  ,23,1
11/8/19 11:36,I am creative. I am caring. I am loyal. I am funny. I can write stories. I listen well. I am a supporter. I provide comfort. I am helpful. I am hard working. I am empathetic. I am protective.,I am selfish. I am stubborn. I am judgmental. I'm not academically smart. I am quick to anger. I am moody. I am dramatic. I am petty. I procrastinate. I'm bad at math. I'm bad at science. I am sensitive. I am manipulative. ,24,1
11/8/19 11:45,"I am considered rather intelligent and compassionate. I've been complemented plenty for being rather punctual and dutiful as well. My sense of empathy has helped me both as a friend and as a writer, since I can guess how someone else may feel in particular situations.   My intelligence, in part, comes from being both analytic and critical. But they're off-set by my open-mindedness.   I am a rather capable writer and draw very well. I can read 400-page novels within 2 or 3 days. Relatively good memory, so long ","I can be rather crass and cranky. I'm rather impatient and a glutton. I procrastinate often out of a sense of anxiety and perfectionism. I'm at a point of my life where I'm extremely passive, letting others decide even the most minor decisions for me and following someone else's lead. I don't really take much initiative, and I'm not opportunistic. I've struggled with an innate pessimism that I've had for years. I can be extremely cautious to the point of inactivity, so I suppose the best word to sum that up would be ""anxious."" ",25,0
11/8/19 13:33,I am patient I am understanding I am organized I am always on-time to events/class I am caring I am a good listener  I am responisble,I am shy. I have a short temperament.  ,26,0
11/8/19 13:37,I think that my positive qualities are that i am a good listener. Also i consider one of my best qualities to be how loyal i am i don't talk behind my friends back if its not something they already know. I would also say that i am very responsible and hardworking. ,Some of my worst qualities are that i might be mean sometimes. Also i am very bad at socializing so its hard for me to make friends or enjoy a party. Also i procrastinate way to much. Lastly i would say that a negative quality is how shy i am.,27,1
11/8/19 14:43,"My positive qualities are being hard-working, driven, goal-oriented, and perseverant. In addition to these, I always finish a task when needed, I do not procrastinate often, and I work extremely hard at what I am passionate about. I am a runner, and I pride myself in my abilities as I have worked very hard to get to where I currently am. in addition, I pride myself in my grades and overall standing because of my good study habits and work ethic.","I sometimes struggle with controlling my emotions, as I am a very passionate person. I am sometimes easily worked up about topics that are relevant to me and my beliefs. Also, I am not very good at speaking to authority figures. I am also a very anxious person and will become very anxious about unexpected occurrences or events that I can or cannot control, such as large projects or other responsibilities.",28,0
11/8/19 14:46,"I would like to think that I get along well with others, especially if I have had previous experiences with you. I am very kind to others through my actions and my words; I rarely talk badly about someone. I am caring for my friends and family. I am very hard-working for things that I enjoy and that I want to learn or do. I like to make others laugh. I am a good listener for someone who needs a person to talk to and always like to give advice to them.I am respectful of ","I can be pretty lazy at times when I don't have anything planned or anything to do. I am very introverted, especially if I am with new people or a new environment. I don't usually like to make new friends, but I will still be nice and respectful of them. I sometimes think badly of myself and where I am in life; so I can be a negative thinker at times. I can be forgetful of certain things I have to do like make a call or send an e-mail. ",29,3
11/8/19 15:53,"I think some of my positive personality traits are that I am optimistic, patient, loving, energetic and flexible. I usually try to keep a positive attitude, especially when things are not going too well because I makes me feel a bit better rather than wallowing. I am a middle child of five which why I think I am so patient, I had to deal with my siblings being a pain but also needing my attention. I also think that being a middle child contributed to me being energetic and fleible. I was always doing something with one of my family memebrs or fried","I am a huge procrastinator, I have poor time management skills, I am forgetful, I over commit, and I am afraid of being honest at times. I put things off until the last minute and often times do not care what the outcome is so long as the task at hand is completed. I struggle with asking for help because I do not like being vulnerable which leads me to not being honest and over committing to things I knowingly cannot do. I would rather make up an excuse for as to why I can longer commit to what I agreed to than be upfront about it initially. This is part of my procrastination tendencies too. I see conflict as the end of any relationship so I am guarded and do not reveal my true thoughts and feelings until I am certain I want to create a meaningful relationship with someone.",30,1
11/8/19 15:56,"I see some of my positive qualities as being a team player. I am willing to work in a group of people toward achieving our specific project. I also see another positive quality that I am friendly toward anyone. I aim to make people feel included in a large group, especially if they look alone. Also, another positive quality that I have is that I am a leader. I am not afraid to step up in a situation and take charge because I believe it is better to stand up and take charge rather than to let things fall apart. I am very energetic and bubbly, especially around the people I am most comfortable with and have more of a positive mindset. I am a glass half-full kind of person and genuinely care about everyone. I always make my friends and my family my priority and make sure they are as happy as can be.  I also beliee","My negative qualities include overthinking. I tend to overthink on a daily basis whether it be about smaller or larger dilemmas. Also, I tend to be very forgetful, especially when I am stressed. This forgetfulness causes me to miss important events in my life right now or important dates that I would have kept in mind on a different basis. The forgetfulness also puts a strain on some of friendships because I can forget important events which may have been important. I am also very stressed because I am very busy with all of the activities and work I do. This stress affects me directly because it causes a lack of motivation and also procrastination which is another negative quality of mine. Thinking very lowly of myself also is one of my negative qualities because it affects my entire attitude and is often the result of the times that I feel like I can't do something anymore. It also puts a stress on my self-esteem and causes me to not think as positively as I would if I was not as stressed. Also, I can be impatient at times which is a result of the stress because it may be little things that can cause me to become upset easily whereas before, when I wasn't as stressed, I wouldn't have gotten upset over those little things. ",31,2
11/11/19 13:37,"I am friendly towards everyone. I am creative when it comes to art. I am a pretty intelligent student at school. I am family oriented. I am independent, and I do not enjoy others doing my work for me. I am trustworthy and rarely break serious promises.  ","I am sometimes very lazy and procrastinate a lot. Also, I am kind of shy and do not take many risks. I am also impatient when it comes to getting something I want. I am an introvert. ",35,0
11/11/19 13:39,"I play basketball. I like to listen to music. I like watching views such as lakes, sunsets, and landscapes. I prefer to go outside than to stay home in my bedroom. I study before each exam or test. I like to help people when they are struggling with assignments. I like to clean my room a lot. I'm athletic and try to play any sport that my friends like to do while we hang out. I ","I tend to sleep late at night for some reason. I wake up late in the morning. I don't really talk unless someone talks to me first. I'm pretty quiet at first when you meet me in person. I like to do my homework at the ""last minute"". ",36,0
11/11/19 13:39,I am hardworking  I am determined I am ambitious  I am a good listener  I am open minded I am responsible  I am efficient  ,"Some negative qualities that I have is that I can be stubborn, impatient, moody, indecisive",37,0
11/11/19 14:41,"I am someone that is very outgoing and open minded. I like new things and i am always open to meet new people.  I am a good listener, i like to be there for the people i care for and i usually help everyone if i can.  I am a good friend and someone you can count on.  I like to make people happy and usually i do little surprises or nice little things for the people i love. I am responsible and i try to always put my academics first.  I can speak three languages: spanish, english and french.  I think i am mature for my age as i moved out of my home and my country at 17 all by myself.  I am someone who enjoys challenges and being busy.  I am always looking for new things, i like to get myself involved in lots of things.  I like to thin",Sometimes i tend to be really self conscious. There is a tendency for me to feel insecure even when there is no need to feel that way. Usually i prefer to be alone to the point that i can push myself away from my friends when i am feeling down. I am really anxious and even the most irrelevant things make me feel that way. Sometimes i don't think before i speak and that can potentially hurt someone. When i am mad i don't think about my action. I get tired easily. I get easily distracted sometimes. I tend to forget important things like birthdays or special dates. I am disorganized. My emotions have a lot of control on me so for example when i am sad i tend to close myself to that and it affects other aspects of my life. ,38,1
11/11/19 14:42,"I am efficient when asked to complete a task and I will try my best to perform as perfectly as possible as I have a very high expectation of myself. I take the things that I am assigned for, or a favor from my friend seriously and will try my very best, sometimes even exceeds their expectation. I am considerate and kind, as I tend to try and see the best out of others and try to understand other people's situation. I know how to speak and understand 3 languages fluen","I expect others to think and work the same way I do, and get frustrated when they don't. I procrastinate when it comes to starting a project, but once I start it I will be very motivated and provide my best performance. I am sometimes shy to talk to others about casual things. I am forgetful. I am straightforward so I might hurt other people's feelings.",39,1
11/11/19 14:44,"I have the quality of always being polite and kind to others. I am always cautious with what I say to new people or those that I do not know very well. I am a quick learner, so I can catch on to things somewhat fast. I am skilled in athletics, I participated in a sport for almost my entire life. This brings me to the quality of being competitive, which I believe is something positive because this is when the ""true"" me comes out. I can speak English, along with some Spanish and some Mandarin. This leads to being open-minded towards others and their experiences. I am quite humorous, I almost always tend to make a joke about things (when appropriate of course). I get along well with others and I like to help people with things they might not understand.","For living in a big city, I am not too cultured. Until I got to high school did I realize that there were many other ethnicities and groups of that sort. I have a tendency to judge people before I meet them or barely meet them. I am protective of those that are closest to me. I am selfish with certain things that I love to have. I like to mess with others or tease them, in a sense.",40,1
11/18/19 12:26,I am empathetic and caring. I am also kind and friendly. I try my best to appease people. I take other people's emotions and actions into consideration. I am supportive and open minded.,I am shy and antisocial. I am judgmental and brash. I get anxious and pessimistic easily. I have a quick temper and upset easily.,41,1
11/18/19 12:33,"In many ways, I feel my social and conversational skills are some of my biggest strengths. Not many people in my generation carry strong conversational skills due to most interactions being online nowadays. One of my favorite things to do is talk, and having multiple interactions with people is what motivates me to continue my day. ","In many ways I feel that I lack a level of time management. With work, school, and social factors all at play I find it hard to balance my true priorities at times. ",42,0
11/18/19 12:40,"I like to think of myself as very independent, which is a positive trait because it gives me confidence to pursue things on my own. I also like to think of myself as creative, which is a positive trait because I often push myself to think outside of the box. I also think that I have a lot of perseverance, which is good because I do not give up easily. ","I am often very lazy, which is bad because I am become stressed when I have gotten nothing done. I am also too introverted, which is not good because I think of myself as socially inapt at times. I also get very easily annoyed, which annoys others in return. ",43,1
11/18/19 13:00,"I am loyal. I am kind-hearted and generally wish the best for those I encounter. I am funny and never fail to put a smile on people's faces, especially when they are having a bad day. I am a hard worker and put in a lot of effort to achieve my goals and make strides in my academic and personal careers. ",I am lazy and can sit on the couch for hours. I am often unmotivated and find trouble finding the energy to get up and study or work on something important. I tend to be negative in most situations and fail to see the bright side. I am very emotional and tend to cry a lot and in unnecessary moments.,44,2
11/18/19 13:00,I am a very determined person. I make sure I work hard until I achieve what I want. I am also a very organized person and try to maintain myself on top of my school work.,"I am an over thinker. I tend to stress and worry a lot about things in life, specifically the ones I have no control on.",45,0
11/18/19 13:22," I like to see myself as a funny, outgoing people. I'm determined with many things and I'm also a people person","I sometimes don't have a filter, I'm crabby in the morning, I'm also a bitch",46,1
11/18/19 13:31,Fast Learner  Positive Thinker  Critical Thinker  Semi-organized  ,Forgive too quickly  Perfectionist  Grudge holder  Being too loud  Stubborn ,47,0
11/18/19 13:38,I'm relatively fit physically. I'm smart and can usually think outside the box in order to solve problems. I'm talkative in certain situations. I'm pretty outgoing. I'm considered sporty.,I can be shy if I don't know much about you. I am lazy. I can be easily distracted. I like to mess with people.,48,0
11/18/19 14:20,"being kind, helpful, and understanding peoples problems","getting discrourage, not asking for help, and getting mad fast",49,0
11/18/19 14:20,"I feel like my best personal qualities would be independence, confidence, and I am a very outgoing/talkative person. I am social and I feel like this benefits me when it comes to social situations.","I feel like my negative qualities are procrastination, lack of motivation, and a negative outlook on life. I wait till the last minute to do things, especially when it comes to school work.  While I am a social person, I tend to sometimes push people away and have trouble making super close friends, I tend to have many surface level relationships rather than meaningful ones. ",50,2
11/18/19 14:36,"I think I am a very caring and passionate person. I pride myself on the fact that I am always there for the people around me no matter what. I also think I am an intelligent person and can fend for myself most times, which also goes into me being a very independent person. ","I think one of my negative personality qualities is that sometimes I am too independent and won't ask for help when I need it. I sometimes overshare with people when I don't mean to. I am a very open person about my life and the things that have happened to me, but there are some things that you just don't tell people you just met. I'm also just really sad sometimes and can't pull myself out of that even when I need to at important times. ",51,0
11/18/19 15:19,trustworthy honest independent helpful  ,I I am shy at times and that is one of my negative qualities since it limits me a lot. Me being shy has caused me to not talk to certain people and has stopped me from going to different places. I feel like i also end up affecting the people around me since i don't want to do certain things so they don't either. I also feel like if i weren't so shy I would be a better person. ,52,0
11/18/19 23:13,"I believe I am foremost a very considerate person. It branches out into compassion as well. I'm rather intelligent and diligent with my work, and thus am generally unwilling to put off assignments or ditch responsibilities. I consider myself rather open-minded and relatively empathetic. I'm a talent writer and artist, if I do say so myself. I have a relatively good memory as I long as I remember to keep reminders...I am generally helpful and generous.  ","I am a rather grumpy person. I'm easily annoyed with other people's incompetency and as such tend to prefer to work alone. I can be impatient and short-tempered. I'm a bit of a crybaby and overly-cautious to the point of being paralyzed by the possibility of entering situations I have no prior experience with, especially if I have to handle them by myself. I'm rather sheltered, so I can be easily taken advantaged of. I guess I can sum that up as being innocent and gullible. ",53,0
11/19/19 9:47,"The positive personal qualities I think I have are that I’m a very nice person, if someone makes me mad I forgive them very easily and even though they did something that made me mad I don’t hold a grudge towards them. I’m also helpful, when someone asks me for help I try to help them the best I can. I’m also respec",A negative quality of mine is that I’m very quiet. I feel as if this quality of mine has impacted me in several ways throughout my life. It’s made me not be as outgoing since I’m very quiet. Another negative quality of mine is that I keep to myself a lot. I feel as if some things I can’t really talk to my family about because they’ve never went through these things or we’re different ages  and won’t really give me the best advice. The last negative quality of mine is sometimes I procrastinate on things I should do.  ,54,0
11/19/19 14:42,"One of my positive personal qualities is that I care a lot, to the point where I care more about the situation then the person who has the problem. Another positive quality is that I am hardworking person. Also have a lot of empathy to both sides of any view. ",Some of my negative personal qualities is that I am a very angry person. I tend to not be able to control my anger in some cases.  Another bad quality is that I am late to everything.,57,0
11/19/19 14:46,I tend to see the good in very negative situations all the time. I believe that this can be a positive personality because no matter what situation I find myself in I always see the good through all the bad. I always like to remain positive due to the fact that it gives me a sense of hope all the time. I am also outgoing but shy in a way. I always get anxious when i'm around people that I do not know and this drives me to be outgoing so I know the people around me. I see it as a positive quality but a bad one too. It's more positive than it is negative.,When I do go through a hard situation or hit one in a point in time in my life I kind of shutdown. I don't always do my work on time and get things done as I would normally. So one negative quality I may have is when i'm sad because I feel like not doing anything but at the same time I try to occupy myself at all cost so that I may not have time to be sad rather to be excited or happy.,58,2
11/19/19 14:57,"I feel as though I have many positive strengths/qualities that describe me as a person very well. One of these strengths would be my work ethic, I feel as though my work ethic is my strongest strength because I have spent a lot of my life working very hard for what I believe in, which has led me to success in many things I am passionate about. Another strength I feel defines who I am as a person, would be my communication skills. I have been known to communicate very well in times where communication is needed and I am great at stepping up when nobody else will. I use my communication skills to take charge and lead things in the direction in which I believe me and those around me will succeed.","I am typically a positive person, so thinking of negatives about myself is pretty difficult. However, if I has to determine one, it would be my time management. Although I work very hard most of the time and have had moment where my time management skills are great, I also have moments where I waste time that I could be using on something more productive. I always get everything I need done, done on time, but it would be easier if I didn't wait as long to finish things all the time.",59,0
11/19/19 15:31,"Some personal qualities that I have that are positive are that I'm friendly, I don't judge, and that I'm supportive. I am also good at communicating with others and also not folding under pressure. A lot of people like that I can get along with everyone and not judge them based on the way they look or act. I'm very supportive and my friends and family like that because they know that they can go to me for advice when needed. ","Some negative qualities that I have are that I tend to hesitate on things, I sometimes doubt my decisions, and that I also procrastinate on certain things. I also tend to forget certain items that I need to complete if I am not reminded. I feel like with these negative qualities, it sometimes causes me to not remember important tasks that were needed to be done. ",60,0
11/19/19 15:35,"My positive personal qualities is that I care for the people I consider friends and family. I have really good hand-eye coordination. I am also very good at math and science. I can be funny at times and am definitely the ""mom friend"" of the group because I take care of the people around me. I am a very responsible person who knows when it is appropriate to speak and when it is not. I also have a very good work ethic. ",My negative personal qualities is that I can be very impatient at times. I also am quick to judge and criticize people based on either internal or external qualities. I consider myself a very stubborn person who has a high pride as well. ,61,1
11/19/19 15:44,"If I reach a fork in the road, I can plan ways to go around it. I am very intelligent  and stand up for myself. I see myself as musically inclined and have found that as a way of expression",I am frightened of the future and the way my past actions effect it. I have a short temper and I expect to get something right the first time or else I feel incredibly embarrassed. ,62,0
11/20/19 9:37,My positive personal characteristics include loyalty and kindness. I am a hard worker and put in a lot of effort into that which I want to accomplish. I will always be there for the people who need me and am a good listener. ,"One of my most negative personal qualities is that I am very insecure and lack self esteem and self worth. I am also very lazy and often lack motivation, especially when I need it most. ",63,1
11/22/19 11:28,"My positive qualities include being responsible for tasks such as completing assignments that are requested of me. I am also responsible and can take charge of situations if need be. Also, I am very caring for my friends and family. I am very protective of them and do my best to make sure they are okay and happy. I am ambitious and like to try very hard when completing tasks. I am friendly toward anyone I meet and like to make friends and bring up the mood in bad situations. I am cheerful for my friends when they are feeling down because I like to make them feel happy when they feel like nothing good is going on for them. I care a","My negative qualities include being impatient at certain times. My impatience then affects my mood and oftentimes puts me in a bad one. Another negative quality of mine is that it is hard for me to get out of a bad mood. I tend to be stubborn and do not budge. Another negative quality involves procrastination. I procrastinate a lot with homework especially, oftentimes leaving assignments undone until the day they are do. This procrastination causes stress on me which also ties back into the impatience quality. When I am stressed, it is a lot easier for me to become impatient and a lot harder for me to let it go. My procrastination has a lot of negative affects on my life because it causes me to not do as good as I would if I had a proper amount of time to do the activity. ",65,1
11/22/19 11:29,"When I think of the my positive qualities I think about my flexibility and optimism first. I am friendly for the most part, I can hold conversations well and will engage in conversation if I am interested in doing so. I am laid back which has its pros and cons but the pros are that I can take criticism well, when I do fail it doesn't destroy me, instead I try to learn from it and move forward. I am really caring for people who are important to me. I will do almost everything in my power to help them or make them feel better. I thi  ","I am a huge procrastinator. It is hard for me to resist doing something that will immediately gratify me, versus doing something that in the long run will be more beneficial but in the moment is not what I want to do. I tend to over commit to people and end up cancelling plans/lying to justify me cancelling plans. I have a hard time prioritizing what will ultimately be better for me long term. ",66,0
